omega &   Ids                  &     peri              &   apo                     &   eccentricity           &    Zmax                    &   Lzmax             & Lzmin \\ 
  35  &   2M17535944$+$4708092 &  2.03$^{3.08}_{1.38}$ &  16.97$^{19.31}_{15.39}$  &  0.78$^{ 0.83}_{ 0.72}$  &   9.55$^{  9.99}_{  9.17}$ & $  -85.0 ^{   -50.0  }_{  -125.0 }$ & $  -102.0 ^{  -74.0  }_{  -134.0  }$ \\ 
  40  &   2M17535944$+$4708092 &  2.20$^{2.98}_{1.41}$ &  17.31$^{19.67}_{15.67}$  &  0.77$^{ 0.83}_{ 0.73}$  &   9.64$^{  9.97}_{  9.32}$ & $  -93.0 ^{   -57.0  }_{  -121.0 }$ & $  -107.0 ^{  -80.0  }_{  -134.0  }$ \\ 
  45  &   2M17535944$+$4708092 &  2.21$^{3.03}_{1.60}$ &  17.62$^{20.46}_{15.71}$  &  0.77$^{ 0.81}_{ 0.74}$  &   9.77$^{ 10.07}_{  9.47}$ & $  -92.0 ^{   -64.84 }_{  -124.0 }$ & $  -101.0 ^{  -78.0  }_{  -142.0  }$ \\ 
  50  &   2M17535944$+$4708092 &  2.17$^{3.14}_{1.63}$ &  18.53$^{19.39}_{15.51}$  &  0.78$^{ 0.80}_{ 0.72}$  &   9.96$^{ 10.30}_{  9.59}$ & $  -91.0 ^{   -65.0  }_{  -128.0 }$ & $  -110.0 ^{  -75.0  }_{  -136.0  }$ \\ 
  45  &   2M15113526$+$3551140 &  1.10$^{1.31}_{0.97}$ &  21.40$^{24.33}_{19.19}$  &  0.90$^{ 0.91}_{ 0.88}$  &  19.86$^{ 22.80}_{ 17.43}$ & $   52.0 ^{    55.0  }_{   48.0  }$ & $   45.0  ^{   50.16 }_{   39.0   }$ \\  
  50  &   2M15113526$+$3551140 &  1.11$^{1.36}_{0.94}$ &  21.99$^{23.97}_{19.05}$  &  0.90$^{ 0.91}_{ 0.88}$  &  19.68$^{ 21.81}_{ 17.58}$ & $   51.0 ^{    58.0  }_{   47.0  }$ & $   46.0  ^{   52.0  }_{   37.0   }$ \\  
  35  &   2M15204588$+$0055032 &  1.10$^{2.54}_{0.32}$ &  13.92$^{16.41}_{12.20}$  &  0.85$^{ 0.94}_{ 0.72}$  &  13.70$^{ 15.34}_{ 12.08}$ & $  -35.0 ^{   -8.0   }_{  -80.0  }$ & $  -48.0  ^{  -21.0  }_{  -83.0   }$ \\ 
  40  &   2M15204588$+$0055032 &  1.12$^{2.57}_{0.45}$ &  14.24$^{16.04}_{12.86}$  &  0.85$^{ 0.93}_{ 0.72}$  &  13.58$^{ 15.10}_{ 12.34}$ & $  -37.0 ^{   -11.0  }_{  -81.0  }$ & $  -48.0  ^{  -27.0  }_{  -83.0   }$ \\ 
  45  &   2M15204588$+$0055032 &  1.01$^{2.53}_{0.21}$ &  13.68$^{16.05}_{12.33}$  &  0.86$^{ 0.96}_{ 0.73}$  &  13.55$^{ 15.12}_{ 11.86}$ & $  -30.0 ^{   -3.0   }_{  -80.0  }$ & $  -40.0  ^{  -20.0  }_{  -83.0   }$ \\ 
  50  &   2M15204588$+$0055032 &  1.06$^{2.59}_{0.19}$ &  13.68$^{16.42}_{11.79}$  &  0.85$^{ 0.96}_{ 0.72}$  &  13.59$^{ 15.43}_{ 12.17}$ & $  -35.0 ^{   -4.0   }_{  -82.16 }$ & $  -41.0  ^{  -18.0  }_{  -84.0   }$ \\ 
  35  &   2M13251355$-$0044438 &  1.03$^{1.32}_{0.90}$ &  17.64$^{22.57}_{14.86}$  &  0.89$^{ 0.90}_{ 0.87}$  &  18.60$^{ 22.33}_{ 14.55}$ & $  -32.0 ^{   -28.0  }_{  -40.0  }$ & $  -35.0  ^{  -31.0  }_{  -43.0   }$ \\ 
  40  &   2M13251355$-$0044438 &  1.02$^{1.29}_{0.89}$ &  17.78$^{22.55}_{14.51}$  &  0.89$^{ 0.90}_{ 0.88}$  &  18.60$^{ 22.36}_{ 14.49}$ & $  -31.0 ^{   -28.0  }_{  -40.0  }$ & $  -34.0  ^{  -31.0  }_{  -43.0   }$ \\ 
  45  &   2M13251355$-$0044438 &  1.02$^{1.30}_{0.91}$ &  17.91$^{22.54}_{14.50}$  &  0.89$^{ 0.90}_{ 0.87}$  &  18.63$^{ 22.37}_{ 14.41}$ & $  -32.0 ^{   -29.0  }_{  -40.0  }$ & $  -35.0  ^{  -32.0  }_{  -41.0   }$ \\ 
  50  &   2M13251355$-$0044438 &  1.03$^{1.28}_{0.92}$ &  17.96$^{22.52}_{14.83}$  &  0.89$^{ 0.89}_{ 0.87}$  &  18.64$^{ 22.33}_{ 14.63}$ & $  -32.0 ^{   -29.0  }_{  -39.0  }$ & $  -35.0  ^{  -32.0  }_{  -41.0   }$ \\ 
